Obat E Katalog;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;CETRIZINE TAB 10 MG;TAB;0.00;0.00;0.00;11150.00;;11150.00;;;0.00;448.00;;;;132.00;;;;;10702.00;;10702.00;0.00;0.00;0.00;1412664.00;0.00;1412664.00;
66;CIPROFLOXACIN TAB 500 MG;TAB;;;;2100.00;;2100.00;;;0.00;320.00;;;;264.00;;;;;1780.00;;1780.00;0.00;0.00;0.00;469920.00;0.00;469920.00;
67;CLINDAMYCIN 300 mg TAB;TAB;0.00;0.00;0.00;400.00;;400.00;;;0.00;280.00;;;;646.00;;;;;120.00;;120.00;0.00;0.00;0.00;77520.00;0.00;77520.00;
68;CLOBAZAM;TAB;1340.00;2400.00;0.00;;;3740.00;;;0.00;50.00;950.00;950.00;;;;1290.00;2400.00;;;;3690.00;1225500.00;2280000.00;0.00;0.00;0.00;3505500.00;
69;"CLONIDINE 0;15 MG TAB";TAB;0.00;800.00;0.00;;;800.00;;;0.00;0.00;;224.00;;;;;800.00;;;;800.00;0.00;179200.00;0.00;0.00;0.00;179200.00;
70;CLOPIDOGREL 75 MG TAB;TAB;0.00;0.00;;4680.00;;4680.00;;;0.00;132.00;;;;1799.00;;;;;4548.00;;4548.00;0.00;0.00;0.00;8181852.00;0.00;8181852.00;
71;CLORPROMAZIN TAB 100 MG;TAB;0.00;869.00;0.00;;;869.00;;;0.00;10.00;;156.00;;;;;859.00;;;;859.00;0.00;134004.00;0.00;0.00;0.00;134004.00;
72;CODEIN TAB 10 MG;TAB;0.00;0.00;7.00;;;7.00;;;0.00;6.00;;;630.00;;;;;1.00;;;1.00;0.00;0.00;630.00;0.00;0.00;630.00;
73;COTRIMOKSASOL TAB  480 MG;TAB;0.00;0.00;0.00;1000.00;3500.00;4500.00;;;0.00;223.00;;;;135.00;129.00;;;;777.00;3500.00;4277.00;0.00;0.00;0.00;104895.00;451500.00;556395.00;
74;COTRIMOKSAZOL SYRUP;BTL 60 ML;0.00;0.00;484.00;;;484.00;;;0.00;3.00;;;2250.00;;;;;481.00;;;481.00;0.00;0.00;1082250.00;0.00;0.00;1082250.00;
75;CYANOCOBALAMIN INJ 500 MCG/ML;AMPUL;0.00;0.00;100.00;;;100.00;;;0.00;0.00;;;1283.00;;;;;100.00;;;100.00;0.00;0.00;128300.00;0.00;0.00;128300.00;
76;DEKSAMETASON;TAB;0.00;0.00;0.00;4900.00;;4900.00;;;0.00;70.00;;;;46.00;;;;;4830.00;;4830.00;0.00;0.00;0.00;222180.00;0.00;222180.00;
77;DEKSAMETASON INJ;AMPUL;0.00;;0.00;500.00;;500.00;1200.00;;1200.00;322.00;;;;1885.00;1278.00;;;;178.00;1200.00;1378.00;0.00;0.00;0.00;335530.00;1533600.00;1869130.00;
78;DEXTROSE 10% INFUS;BTL;0.00;0.00;48.00;100.00;;148.00;80.00;;80.00;50.00;;;7500.00;7500.00;7500.00;;;;98.00;80.00;178.00;0.00;0.00;0.00;735000.00;600000.00;1335000.00;
79;DEXTROSE 5% INFUS;BTL;0.00;;;285.00;;285.00;2000.00;;2000.00;700.00;;;;6900.00;6900.00;;;;;1585.00;1585.00;0.00;0.00;0.00;0.00;10936500.00;10936500.00;
80;DIAZEPAM INJ 5 MG/ML;AMP;;;;;;0.00;240.00;;240.00;8.00;;;;;2010.00;;;;;232.00;232.00;0.00;0.00;0.00;0.00;466320.00;466320.00;
81;DIFENHIDRAMIN INJ;AMPUL;0.00;166.00;0.00;;;166.00;;;0.00;6.00;;1156.00;;;;;160.00;;;;160.00;0.00;184960.00;0.00;0.00;0.00;184960.00;
82;"DIGOKSIN TAB 0;25 MG";TAB;0.00;200.00;0.00;700.00;;900.00;;;0.00;0.00;;103.00;;114.00;;;200.00;;700.00;;900.00;0.00;20600.00;0.00;79800.00;0.00;100400.00;
83;"DIGOKSIN INJ 0;25/ML (FARGOXIN)";AMPUL;0.00;0.00;;;25.00;25.00;;;0.00;0.00;;;28925.00;31231.00;31231.00;;;;;25.00;25.00;0.00;0.00;0.00;0.00;780775.00;780775.00;
84;DILTIAZEM TAB;TAB;0.00;2100.00;0.00;;;2100.00;;;0.00;0.00;;141.00;;;;;2100.00;;;;2100.00;0.00;296100.00;0.00;0.00;0.00;296100.00;
85;DILTIAZEM HCL INJ 50 MG INF;AMPUL;0.00;0.00;30.00;;;30.00;;;0.00;0.00;;;148500.00;;;;;30.00;;;30.00;0.00;0.00;4455000.00;0.00;0.00;4455000.00;
86;DILTIAZEM HCL 100 (HERBESSER CD 100);TAB;0.00;0.00;400.00;;;400.00;;;0.00;0.00;;;4290.00;;;;;400.00;;;400.00;0.00;0.00;1716000.00;0.00;0.00;1716000.00;
87;DILTIAZEM HCL 200 (HERBESSER CD 200);TAB;0.00;0.00;300.00;;;300.00;;;0.00;0.00;;;4650.00;;;;;300.00;;;300.00;0.00;0.00;1395000.00;0.00;0.00;1395000.00;
88;DOPAMIN GIULININ 200 MG INJ;AMPUL;0.00;;0.00;86.00;;86.00;;;0.00;0.00;;;;7579.00;;;;;86.00;;86.00;0.00;0.00;0.00;651794.00;0.00;651794.00;
89;DOBUTAMIN INJ ;AMPUL;0.00;80.00;0.00;;;80.00;45.00;;45.00;4.00;;29437.00;;;13945.00;;76.00;;;45.00;121.00;0.00;2237212.00;0.00;0.00;627525.00;2864737.00;
90;DOMPERIDON DROPS 5 MG;BTL;0.00;0.00;115.00;;;115.00;;;0.00;2.00;;;18719.00;;;;;113.00;;;113.00;0.00;0.00;2115247.00;0.00;0.00;2115247.00;
91;DOMPERIDON TAB 10 MG;TAB;0.00;0.00;;4200.00;;4200.00;;;0.00;627.00;;;;116.00;;;;;3573.00;;3573.00;0.00;0.00;0.00;414468.00;0.00;414468.00;
92;ERITHROMISIN CAP 250 MG;TAB;0.00;0.00;400.00;;;400.00;;;0.00;0.00;;;679.00;;;;;400.00;;;400.00;0.00;0.00;271600.00;0.00;0.00;271600.00;
93;ERITHROMISIN CAP 500 MG;TAB;0.00;;900.00;;;900.00;200.00;;200.00;0.00;;;771.00;;781.00;;;900.00;;200.00;1100.00;0.00;0.00;693900.00;0.00;156200.00;850100.00;
94;ERITHROPOETIN-ALPAINJ 3000IU/ML(HEMAPO);SYRINGE;0.00;0.00;75.00;;;75.00;;;0.00;0.00;;;139950.00;;;;;75.00;;;75.00;0.00;0.00;10496250.00;0.00;0.00;10496250.00;
95;ETAMBUTOL 500 MG;TAB;0.00;4700.00;0.00;;;4700.00;;;0.00;0.00;;495.00;;;;;4700.00;;;;4700.00;0.00;2326500.00;0.00;0.00;0.00;2326500.00;
96;FENITOIN CAP 100 MG;TAB;0.00;0.00;812.00;;;812.00;;;0.00;62.00;;;154.00;;;;;750.00;;;750.00;0.00;0.00;115500.00;0.00;0.00;115500.00;
97;FENITOIN INJ 50 MG/ML;AMP;;;;42.00;;42.00;20.00;;20.00;7.00;;;;6231.00;4327.00;;;;35.00;20.00;55.00;0.00;0.00;0.00;218085.00;86540.00;304625.00;
98;FENOBARBITAL INJ 50 MG/ML;AMPUL;0.00;149.00;0.00;;;149.00;;;0.00;11.00;;1980.00;;;;;138.00;;;;138.00;0.00;273240.00;0.00;0.00;0.00;273240.00;
99;FENOFIBRATE 100 MG CAPS;KAPSUL;0.00;0.00;;180.00;;180.00;;;0.00;0.00;;;;1073.00;;;;;180.00;;180.00;0.00;0.00;0.00;193140.00;0.00;193140.00;
100;FENTANYL  INJ;AMPUL;0.00;;0.00;;165.00;165.00;;;0.00;165.00;;37306.00;;;41599.00;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
101;FITOMENADION (VIT K ) TAB;TAB;0.00;1400.00;0.00;;;1400.00;;;0.00;1400.00;;748.00;;;;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;0.00;
102;FITOMENADION (VIT K)INJ 10 MG/ML;AMP;;;;260.00;;260.00;;;0.00;0.00;;;;4167.00;;;;;260.00;;260.00;0.00;0.00;0.00;1083420.00;0.00;1083420.00;
103;FITOMENADION (VIT K ) INJ 2 MG/ML;AMPUL;0.00;;0.00;298.00;;298.00;;;0.00;65.00;;3754.00;;4260.00;;;;;233.00;;233.00;0.00;0.00;0.00;992580.00;0.00;992580.00;
104;FINASTERIDE 5 MG TAB (PROSTACOM);TAB;0.00;720.00;0.00;;;720.00;;;0.00;0.00;;3225.00;;;;;720.00;;;;720.00;0.00;2322000.00;0.00;0.00;0.00;2322000.00;
105;FRAKSI PROTEIN PLASMA INF 5%(PLASMATE);BTL250ML;0.00;25.00;0.00;;;25.00;;;0.00;0.00;;972000.00;;;;;25.00;;;;25.00;0.00;24300000.00;0.00;0.00;0.00;24300000.00;
106;FUROSEMIDE INJ 10 MG/ML;AMP;;;;;845.00;845.00;;;0.00;3.00;;;;;1555.00;;;;;842.00;842.00;0.00;0.00;0.00;0.00;1309310.00;1309310.00;
107;FUROSEMIDE TAB 40 MG;TAB;;;;;6500.00;6500.00;;;0.00;235.00;;;;;82.00;;;;;6265.00;6265.00;0.00;0.00;0.00;0.00;513730.00;513730.00;
108;GARAM ORALIT 200 ML ;BKS;0.00;0.00;0.00;700.00;;700.00;;;0.00;0.00;;;;276.00;;;;;700.00;;700.00;0.00;0.00;0.00;193200.00;0.00;193200.00;
109;GABAPENTIN TAB 100 MG (ALPENTIN);TAB;;;;50.00;;50.00;200.00;;200.00;0.00;;;;1396.00;1250.00;;;;50.00;200.00;250.00;0.00;0.00;0.00;69800.00;250000.00;319800.00;
110;GABAPENTIN TAB 300 MG ;TAB;;;;1620.00;;1620.00;;;0.00;7.00;;;;1397.00;;;;;1613.00;;1613.00;0.00;0.00;0.00;2253361.00;0.00;2253361.00;
111;"GENTAMISIN SALEP MATA 0;3%";TUBE;;89.00;0.00;;;89.00;;;0.00;1.00;2786.00;2786.00;;;;;88.00;;;;88.00;0.00;245168.00;0.00;0.00;0.00;245168.00;
112;GEMFIBROZIL CAPS 300MG;KAPSUL;0.00;1260.00;0.00;;;1260.00;;;0.00;0.00;;318.00;;;;;1260.00;;;;1260.00;0.00;400680.00;0.00;0.00;0.00;400680.00;
113;GLIBENCLAMIDE TAB 5 MG;TAB;0.00;3500.00;0.00;;;3500.00;;;0.00;0.00;;61.00;;;;;3500.00;;;;3500.00;0.00;213500.00;0.00;0.00;0.00;213500.00;
114;GLIMEPRIDA TAB 2 MG;TAB;0.00;0.00;;8800.00;;8800.00;;;0.00;0.00;;;;271.00;;;;;8800.00;;8800.00;0.00;0.00;0.00;2384800.00;0.00;2384800.00;
115;GLIKLAZIDE MR TAB 60 MG;TAB;0.00;0.00;870.00;900.00;;1770.00;;;0.00;0.00;;;5665.00;2992.00;;;;870.00;900.00;;1770.00;0.00;0.00;4928550.00;2692800.00;0.00;7621350.00;
116;GRISEOFULVIN 125 MG TAB ;TAB;0.00;4100.00;0.00;;;4100.00;;;0.00;0.00;;230.00;;;;;4100.00;;;;4100.00;0.00;943000.00;0.00;0.00;0.00;943000.00;
117;"HALOPERIDOL TAB 0;5 MG";TAB;0.00;64.00;0.00;;;64.00;500.00;;500.00;30.00;;62.00;;;55.00;;34.00;;;500.00;534.00;0.00;2108.00;0.00;0.00;27500.00;29608.00;
118;HALOPERIDOL TAB 2 MG;TAB;0.00;490.00;0.00;;;490.00;;;0.00;0.00;;134.00;;;;;490.00;;;;490.00;0.00;65660.00;0.00;0.00;0.00;65660.00;
119;HEPARIN INJ 5000 UI/ML (INVICLOT);AMPUL;0.00;239.00;0.00;;;239.00;;;0.00;0.00;;48400.00;;;;;239.00;;;;239.00;0.00;11567600.00;0.00;0.00;0.00;11567600.00;
120;HEPATITIS B IMUNOGLOBULIN;SYRINGE;0.00;0.00;;1.00;;1.00;;;0.00;0.00;;;;1300000.00;;;;;1.00;;1.00;0.00;0.00;0.00;1300000.00;0.00;1300000.00;
121;HIDROKORTISON KRIM 1%;TUBE;0.00;0.00;239.00;;;239.00;;;0.00;7.00;;;3667.00;;;;;232.00;;;232.00;0.00;0.00;850744.00;0.00;0.00;850744.00;
122;HIOSIN N-BUTYLBROMIDE 20 MG/ML INJ;AMPUL;;135.00;0.00;;;135.00;;;0.00;0.00;;5938.80;;;;;135.00;;;;135.00;0.00;801738.00;0.00;0.00;0.00;801738.00;
123;IBUPROFEN SYR 100 MG;BTL;0.00;0.00;138.00;;;138.00;;;0.00;11.00;;;2620.00;;;;;127.00;;;127.00;0.00;0.00;332740.00;0.00;0.00;332740.00;
124;IBUPROFEN SYR 200 MG;BTL;0.00;0.00;0.00;47.00;;47.00;;;0.00;2.00;;;4949.00;5934.00;;;;;45.00;;45.00;0.00;0.00;0.00;267030.00;0.00;267030.00;
125;IMIDAPRIL HCL (TANAPRESS 10);TAB;0.00;0.00;100.00;;;100.00;;;0.00;0.00;;;4554.00;;;;;100.00;;;100.00;0.00;0.00;455400.00;0.00;0.00;455400.00;
126;ISOFLURAN ;BTL 250ML;0.00;0.00;12.00;50.00;;62.00;;;0.00;0.00;;;672854.00;694400.00;;;;12.00;50.00;;62.00;0.00;0.00;8074248.00;34720000.00;0.00;42794248.00;
127;ISONIASID 300 MG;TAB;0.00;3000.00;0.00;;;3000.00;;;0.00;0.00;;174.00;;;;;3000.00;;;;3000.00;0.00;522000.00;0.00;0.00;0.00;522000.00;
128;ISOSORBID DINITRAT 5 MG TAB;TAB;0.00;0.00;1900.00;;;1900.00;;;0.00;0.00;;;96.00;;;;;1900.00;;;1900.00;0.00;0.00;182400.00;0.00;0.00;182400.00;
129;ISOSORBID DINITRAT TAB 10 MG (FARSORBID) ;TAB;0.00;0.00;3800.00;;;3800.00;;;0.00;500.00;;;231.00;;;;;3300.00;;;3300.00;0.00;0.00;762300.00;0.00;0.00;762300.00;
130;ISOSORBID DINITRAT INJ 10MG(FARSORBID);AMPUL;0.00;0.00;112.00;;;112.00;;;0.00;0.00;;;32995.00;;;;;112.00;;;112.00;0.00;0.00;3695440.00;0.00;0.00;3695440.00;
131;KANAMYCIN 1GR INJ;VIAL;0.00;214.00;0.00;;;214.00;;;0.00;4.00;;5100.00;;;;;210.00;;;;210.00;0.00;1071000.00;0.00;0.00;0.00;1071000.00;
132;KETAMIN/KTM;VIAL;;0.00;0.00;76.00;;76.00;;;0.00;0.00;;;;74700.00;;;;;76.00;;76.00;0.00;0.00;0.00;5677200.00;0.00;5677200.00;
